work_place,work_type,work_time,work_count,work_name
北京,技术类,2017-12-20,1,MIG16-位置大数据机器学习/深度学习算法研究员（北京）
北京,技术类,2017-12-20,1,WXG08-122 微信数据挖掘算法高级工程师（北京）
北京,技术类,2017-12-20,1,OMG097-测试开发工程师（北京）
北京,技术类,2017-12-20,2,OMG236-腾讯视频推荐算法高级工程师（北京）
北京,技术类,2017-12-20,1,23671-高级数据分析开发工程师(北京）
北京,技术类,2017-12-20,1,22090-天天快报-文本分析与挖掘高级工程师（北京）
北京,技术类,2017-12-20,1,WXG08-121 微信机器学习算法工程师（北京）
北京,技术类,2017-12-20,3,23674-腾讯新闻高级系统测试工程师
北京,技术类,2017-12-20,1,SA-腾讯社交广告高级系统测试工程师（北京）
北京,技术类,2017-12-19,2,22989-腾讯云高级后台开发工程师（北京）
北京,技术类,2017-12-20,1,MIG16-位置大数据机器学习/深度学习算法研究员（北京）
北京,技术类,2017-12-20,1,WXG08-122 微信数据挖掘算法高级工程师（北京）
北京,技术类,2017-12-20,1,OMG097-测试开发工程师（北京）
北京,技术类,2017-12-20,2,OMG236-腾讯视频推荐算法高级工程师（北京）
北京,技术类,2017-12-20,1,23671-高级数据分析开发工程师(北京）
北京,技术类,2017-12-20,1,22090-天天快报-文本分析与挖掘高级工程师（北京）
北京,技术类,2017-12-20,1,WXG08-121 微信机器学习算法工程师（北京）
北京,技术类,2017-12-20,3,23674-腾讯新闻高级系统测试工程师
北京,技术类,2017-12-20,1,SA-腾讯社交广告高级系统测试工程师（北京）
北京,技术类,2017-12-19,2,22989-腾讯云高级后台开发工程师（北京）
北京,技术类,2017-12-20,1,MIG16-位置大数据机器学习/深度学习算法研究员（北京）
北京,技术类,2017-12-20,1,WXG08-122 微信数据挖掘算法高级工程师（北京）
北京,技术类,2017-12-20,1,OMG097-测试开发工程师（北京）
北京,技术类,2017-12-20,2,OMG236-腾讯视频推荐算法高级工程师（北京）
北京,技术类,2017-12-20,1,23671-高级数据分析开发工程师(北京）
北京,技术类,2017-12-20,1,22090-天天快报-文本分析与挖掘高级工程师（北京）
北京,技术类,2017-12-20,1,WXG08-121 微信机器学习算法工程师（北京）
北京,技术类,2017-12-20,3,23674-腾讯新闻高级系统测试工程师
北京,技术类,2017-12-20,1,SA-腾讯社交广告高级系统测试工程师（北京）
北京,技术类,2017-12-19,2,22989-腾讯云高级后台开发工程师（北京）
北京,技术类,2017-12-20,1,MIG16-位置大数据机器学习/深度学习算法研究员（北京）
北京,技术类,2017-12-20,1,WXG08-122 微信数据挖掘算法高级工程师（北京）
北京,技术类,2017-12-20,1,OMG097-测试开发工程师（北京）
北京,技术类,2017-12-20,2,OMG236-腾讯视频推荐算法高级工程师（北京）
北京,技术类,2017-12-20,1,23671-高级数据分析开发工程师(北京）
北京,技术类,2017-12-20,1,22090-天天快报-文本分析与挖掘高级工程师（北京）
北京,技术类,2017-12-20,1,WXG08-121 微信机器学习算法工程师（北京）
北京,技术类,2017-12-20,3,23674-腾讯新闻高级系统测试工程师
北京,技术类,2017-12-20,1,SA-腾讯社交广告高级系统测试工程师（北京）
北京,技术类,2017-12-19,2,22989-腾讯云高级后台开发工程师（北京）
北京,技术类,2017-12-20,1,MIG16-位置大数据机器学习/深度学习算法研究员（北京）
北京,技术类,2017-12-20,1,WXG08-122 微信数据挖掘算法高级工程师（北京）
北京,技术类,2017-12-20,1,OMG097-测试开发工程师（北京）
北京,技术类,2017-12-20,2,OMG236-腾讯视频推荐算法高级工程师（北京）
北京,技术类,2017-12-20,1,23671-高级数据分析开发工程师(北京）
北京,技术类,2017-12-20,1,22090-天天快报-文本分析与挖掘高级工程师（北京）
